date,score,max_score,score_ratio,market_state,conviction,sopr_ma,rhodl_ma,exchange_flow_7d,lth_sth_rotation,puell_ma,sopr_7d_ma_score,rhodl_ratio_7d_ma_score,exchange_flow_7d_sum_score,lth_sth_rotation_score,miner_behaviour_puell_7d_score,market_close,market_return_1d,yfinance_btc_momentum_score
2026-04-17,0,5,0.0,NEUTRAL / SIDEWAYS,LOW,1.0011083477805032,1023.6279254952233,-7112.990796863927,0.0006670900973957003,0.9955325795321031,0,0,0,0,0,77126.875,0.02627659540184779,
2026-04-18,2,6,0.3333333333333333,MILD BULLISH,LOW,1.0013868782891697,1014.2063897271694,-28773.78618316326,8.681014416452485e-05,1.0250749651129027,1,0,1,0,0,75726.2109375,-0.01816051878803593,0.0
2026-04-19,3,6,0.5,BULLISH TREND,MEDIUM,1.001403014734477,999.051739173423,-30783.263779688496,-0.0001745725654520398,1.0280407933593492,1,0,1,0,0,73856.3515625,-0.024692366775663332,1.0
2026-04-20,2,6,0.3333333333333333,MILD BULLISH,LOW,1.002026503278302,991.0172787441835,-38461.05964693152,0.004388597659167917,1.0104022855044223,1,0,1,0,0,75872.5234375,0.027298557704868998,0.0
2026-04-21,1,6,0.16666666666666666,MILD BULLISH,LOW,1.0019653161779092,977.3434627843135,-8034.0033967407735,0.001579506737459272,0.9818585347325067,0,0,1,0,0,76352.7734375,0.0063296958930805225,0.0
2026-04-22,3,6,0.5,BULLISH TREND,MEDIUM,1.0030431579828305,971.2548720210818,-24387.32658995594,0.005282867555437927,0.9879087576084469,1,0,1,0,0,78203.1015625,0.024233934691509473,1.0
2026-04-23,3,6,0.5,BULLISH TREND,MEDIUM,1.0033139138957654,960.8658142164622,-83088.83797391175,-0.0025929365872261606,0.9574782243590825,1,0,1,0,0,78268.953125,0.0008420581944230676,1.0
2026-04-24,1,6,0.16666666666666666,MILD BULLISH,LOW,1.001525638790303,959.2534001582959,-69326.09272165743,0.0037240737129820463,0.9649265223239698,0,0,1,0,0,77455.3125,-0.010395445352393673,0.0
2026-04-25,1,6,0.16666666666666666,MILD BULLISH,LOW,1.001293845878697,963.3462430555394,-68981.54023347895,-0.0011645581232193835,0.9520861705976007,0,0,1,0,0,77612.015625,0.0020231423764509593,0.0
2026-04-26,2,6,0.3333333333333333,MILD BULLISH,LOW,1.0012896321176883,969.0190750927068,-69003.96420018992,-0.00018440070919180157,0.9432228771810919,0,0,1,0,0,78657.5390625,0.013471154293320797,1.0
2026-04-27,1,6,0.16666666666666666,MILD BULLISH,LOW,1.0006512360473556,968.6341075110122,-65957.01143370464,-0.0030353432126064986,0.9509597985420714,0,0,1,0,0,77366.625,-0.01641182876919478,0.0
2026-04-28,1,6,0.16666666666666666,MILD BULLISH,LOW,1.0009269939582262,982.8655707303939,-63670.04604972818,-0.007839735395624593,0.9549625933116849,1,0,1,-1,0,76350.671875,-0.013131671764148978,0.0
2026-04-29,1,6,0.16666666666666666,MILD BULLISH,LOW,1.0001404879951081,1010.3270471375699,-63386.40010341581,-0.0017195878518013368,0.9509064349601396,0,0,1,0,0,75776.1328125,-0.007525003361340765,0.0
2026-04-30,1,6,0.16666666666666666,MILD BULLISH,LOW,1.0021246947752602,1041.7466897849092,-2109.0194851514316,0.003215433746284917,0.969942196351498,1,0,0,0,0,76304.3203125,0.00697036758667724,0.0
2026-05-01,1,6,0.16666666666666666,MILD BULLISH,LOW,1.0034366672976927,1038.077025850329,1048.726141471723,-0.003188512285828165,0.9789964630691357,1,0,0,0,0,78179.0,0.024568460603834108,0.0
2026-05-02,1,6,0.16666666666666666,MILD BULLISH,LOW,1.0040441996999296,1028.0630801924322,6.925411074708322,0.0011024184372012968,0.9752068762921996,1,0,0,0,0,78657.25,0.006117371672699878,0.0
2026-05-03,1,6,0.16666666666666666,MILD BULLISH,LOW,1.0043115941970306,1018.5036239997788,-46.27534697475926,0.0007911123998693953,0.9783070565452486,1,0,0,0,0,78538.2265625,-0.00151319093281288,0.0
2026-05-04,1,6,0.16666666666666666,MILD BULLISH,LOW,1.0045254388803893,1014.6122886008535,82.28840124270488,0.00360903784185917,0.9892375046355709,1,0,0,0,0,79827.90625,0.016421044171065935,0.0
